	Method	BFGS_LS(suc)	BFGS_LS(time)	BFGS_LS(nit)	DFP_LS(suc)	DFP_LS(time)	DFP_LS(nit)	PSB_LS(suc)	PSB_LS(time)	PSB_LS(nit)	SR1_LS(suc)	SR1_LS(time)	SR1_LS(nit)	BFGS_TR(suc)	BFGS_TR(time)	BFGS_TR(nit)	DFP_TR(suc)	DFP_TR(time)	DFP_TR(nit)	PSB_TR(suc)	PSB_TR(time)	PSB_TR(nit)	SR1_TR(suc)	SR1_TR(time)	SR1_TR(nit)
104	Stochastic	0.0	0.004802610619299231	1.44	0.0	0.005579112480090771	1.48	0.0	0.004821494931093184	1.52	0.0	0.0045329062126347715	1.45	0.0	0.02410271936650133	44.97	0.0	0.022276213849472697	45.2	0.0	0.02374729147395556	44.9	0.0	0.022037769478838527	45.26
105	ThreeHumpCamel	0.23	0.0048373858057311715	11.49	0.24	0.004850056597333606	13.28	0.25	0.003802426309011935	9.94	0.18	0.003099019906003377	6.98	0.32	0.015674513320527696	23.21	0.27	0.015989743629315854	23.33	0.28	0.0163186667744867	23.65	0.22	0.024761985401437408	68.01
106	Mishra01	0.0	0.08158493514289149	400.0	0.0	0.01267608145399208	8.85	0.0	0.014860820141857403	9.05	0.0	0.012389703602711959	8.86	0.0	0.04796856805512107	274.8	0.0	0.0570478081840065	293.82	0.0	0.04548398532529063	255.76	0.0	0.028253308068751717	120.54
107	GoldsteinPrice	0.59	0.004777910486855035	13.12	0.31	0.024849735871912342	121.33	0.5	0.004245976713646087	10.37	0.3	0.005597889883410971	9.32	0.32	0.01857116404939916	25.03	0.33	0.0233045108103488	45.97	0.38	0.02034755942931952	23.88	0.11	0.0850117877276989	328.92
108	Mishra03	0.0	0.004857022753158162	0.06	0.0	0.005271241750369882	0.09	0.0	0.004804791551969175	0.11	0.0	0.004632882735513703	0.14	0.0	0.023408404459569283	56.12	0.0	0.023148475763237003	56.1	0.0	0.022582006278544214	55.37	0.0	0.022424906422993444	55.12
109	Mishra04	0.0	0.005181840613104214	0.26	0.0	0.006157303409190717	4.3	0.0	0.004888197262416725	0.11	0.0	0.00506137615141597	0.06	0.0	0.023182104890902337	55.84	0.0	0.02313359410448356	56.2	0.0	0.023143827383082682	56.92	0.0	0.02290497248392967	55.57
110	Mishra02	0.0	0.08964861324752746	400.0	0.0	0.014990286296597332	9.36	0.01	0.014995276783856754	9.33	0.0	0.015145286469805798	9.45	0.0	0.05472352401094213	305.71	0.0	0.05768617147518852	324.12	0.0	0.05743062602604367	324.59	0.0	0.02731977477379587	101.44
111	Mishra06	0.16	0.04216094086293196	152.24	0.09	0.016755097075019876	31.15	0.03	0.005943597658124418	6.17	0.06	0.006969931779603939	7.1	0.05	0.031637452858676626	84.91	0.07	0.03389001000241478	85.04	0.08	0.03074535728599585	75.5	0.03	0.02967028145576478	60.58
112	Mishra07	0.0	0.015238921182353806	7.53	0.0	0.016642885947003378	13.37	0.0	0.011476153638577673	6.72	0.0	0.010114853905288329	6.28	0.0	0.02770998212919949	50.96	0.0	0.026596757081297256	50.41	0.0	0.026548639718030245	48.92	0.0	0.03261276170666861	69.16
113	Shekel10	0.07	0.0429367627859574	48.08	0.0	0.3048085632827224	522.81	0.0	0.005952885865799546	1.49	0.0	0.00764878344580211	2.11	0.0	0.10617983543795162	31.6	0.0	0.10102945157243994	30.58	0.0	0.09987623420482122	30.62	0.0	0.12080033389652273	61.64
